Dataset name: Balance Sheet Items; Frequency: Monthly; Reference area: Euro area (changing composition); Adjustment indicator: Neither seasonally nor working day adjusted; Balance sheet item: Loans; Original maturity: Total; Data type: Outstanding amounts at the end of the period (stocks); Counterpart area: Euro area (changing composition); BS counterpart sector: Households and non-profit institutions serving households (S.14 and S.15); Currency of transaction: All currencies combined; Balance sheet suffix: Euro
,BSI.M.U2.N.A.A20.A.1.U2.2250.Z01.E,BSI.M.U2.N.U.A20.A.1.U2.2250.Z01.E;;;;;;;;;;
,MFIs excluding ESCB,Monetary and Financial Institutions (MFIs);;;;;;;;;;
Period\Unit:,[Millions of Euro],[Millions of Euro];;;;;;;;;;
2005Jan,3823117,3823748;;;;;;;;;;
2004Dec,3808411,3809041;;;;;;;;;;
2004Nov,3781526,3782154;;;;;;;;;;
2004Oct,3758072,3758699;;;;;;;;;;
2004Sep,3735725,3736336;;;;;;;;;;
2004Aug,3707194,3707823;;;;;;;;;;
2004Jul,3690896,3691527;;;;;;;;;;
2004Jun,3663130,3663765;;;;;;;;;;
2004May,3610616,3611250;;;;;;;;;;
2004Apr,3589506,3590145;;;;;;;;;;
2004Mar,3564681,3565303;;;;;;;;;;
2004Feb,3539546,3540182;;;;;;;;;;
2004Jan,3525878,3526517;;;;;;;;;;
2003Dec,3520572,3521213;;;;;;;;;;
2003Nov,3497380,3498016;;;;;;;;;;
2003Oct,3482382,3483022;;;;;;;;;;
2003Sep,3463826,3464466;;;;;;;;;;
2003Aug,3446874,3447512;;;;;;;;;;
2003Jul,3434903,3435546;;;;;;;;;;
2003Jun,3410955,3411595;;;;;;;;;;
2003May,3387974,3388612;;;;;;;;;;
2003Apr,3371763,3372402;;;;;;;;;;
2003Mar,3358433,3359069;;;;;;;;;;
2003Feb,3344969,3345607;;;;;;;;;;
2003Jan,3328858,3329497;;;;;;;;;;
2002Dec,3327066,3327697;;;;;;;;;;
2002Nov,3310020,3310649;;;;;;;;;;
2002Oct,3296089,3296716;;;;;;;;;;
2002Sep,3282845,3283471;;;;;;;;;;
2002Aug,3262899,3263523;;;;;;;;;;
2002Jul,3249212,3249834;;;;;;;;;;
2002Jun,3237240,3237860;;;;;;;;;;
2002May,3215169,3215789;;;;;;;;;;
2002Apr,3200240,3200859;;;;;;;;;;
2002Mar,3174733,3175351;;;;;;;;;;
2002Feb,3160777,3161393;;;;;;;;;;
2002Jan,3156149,3156764;;;;;;;;;;
2001Dec,3146163,3146777;;;;;;;;;;
2001Nov,3140685,3141297;;;;;;;;;;
2001Oct,3127929,3128540;;;;;;;;;;
2001Sep,3108211,3108820;;;;;;;;;;
2001Aug,3090100,3090707;;;;;;;;;;
2001Jul,3085449,3086055;;;;;;;;;;
2001Jun,3074151,3074755;;;;;;;;;;
2001May,3057938,3058540;;;;;;;;;;
2001Apr,3043976,3044577;;;;;;;;;;
2001Mar,3023970,3024569;;;;;;;;;;
2001Feb,3006088,3006687;;;;;;;;;;
2001Jan,3002220,3002819;;;;;;;;;;
2000Dec,2977610,2978079;;;;;;;;;;
2000Nov,2956309,2956778;;;;;;;;;;
2000Oct,2946664,2947134;;;;;;;;;;
2000Sep,2925449,2925920;;;;;;;;;;
2000Aug,2880876,2881350;;;;;;;;;;
2000Jul,2872295,2872771;;;;;;;;;;
2000Jun,2862438,2862916;;;;;;;;;;
2000May,2840517,2841007;;;;;;;;;;
2000Apr,2826681,2827183;;;;;;;;;;
2000Mar,2809336,2809850;;;;;;;;;;
2000Feb,2783711,2784226;;;;;;;;;;
2000Jan,2772202,2772717;;;;;;;;;;
